date,tempmean,location
20090102,39,knyc-central park
20090103,39,knyc-central park
20090104,39,knyc-central park
20090105,38,knyc-central park
20090106,38,knyc-central park
20090107,38,knyc-central park
20090108,38,knyc-central park
20090109,38,knyc-central park
20090110,38,knyc-central park
20090111,38,knyc-central park
20090112,38,knyc-central park
20090113,38,knyc-central park
20090114,38,knyc-central park
20090115,38,knyc-central park
20090116,38,knyc-central park
20090117,38,knyc-central park
20090118,38,knyc-central park
20090119,38,knyc-central park
20090120,38,knyc-central park
20090121,38,knyc-central park
20090122,38,knyc-central park
20090123,38,knyc-central park
20090124,38,knyc-central park
20090125,38,knyc-central park
20090126,39,knyc-central park
20090127,39,knyc-central park
20090128,39,knyc-central park
20090129,39,knyc-central park
20090130,39,knyc-central park
20090131,39,knyc-central park
20090201,39,knyc-central park
20090202,39,knyc-central park
20090203,39,knyc-central park
20090204,40,knyc-central park
20090205,40,knyc-central park
20090206,40,knyc-central park
20090207,40,knyc-central park
20090208,40,knyc-central park
20090209,40,knyc-central park
20090210,41,knyc-central park
20090211,41,knyc-central park
20090212,41,knyc-central park
20090213,41,knyc-central park
20090214,41,knyc-central park
20090215,42,knyc-central park
20090216,42,knyc-central park
20090217,42,knyc-central park
20090218,42,knyc-central park
20090219,42,knyc-central park
20090220,43,knyc-central park
20090221,43,knyc-central park
20090222,43,knyc-central park
20090223,43,knyc-central park
20090224,44,knyc-central park
20090225,44,knyc-central park
20090226,44,knyc-central park
20090227,44,knyc-central park
20090228,45,knyc-central park
20090301,45,knyc-central park
20090302,45,knyc-central park
20090303,45,knyc-central park
20090304,46,knyc-central park
20090305,46,knyc-central park
20090306,46,knyc-central park
20090307,47,knyc-central park
20090308,47,knyc-central park
20090309,47,knyc-central park
20090310,48,knyc-central park
20090311,48,knyc-central park
20090312,48,knyc-central park
20090313,49,knyc-central park
20090314,49,knyc-central park
20090315,49,knyc-central park
20090316,50,knyc-central park
20090317,50,knyc-central park
20090318,50,knyc-central park
20090319,51,knyc-central park
20090320,51,knyc-central park
20090321,51,knyc-central park
20090322,52,knyc-central park
20090323,52,knyc-central park
20090324,52,knyc-central park
20090325,53,knyc-central park
20090326,53,knyc-central park
20090327,54,knyc-central park
20090328,54,knyc-central park
20090329,54,knyc-central park
20090330,55,knyc-central park
20090331,55,knyc-central park
20090401,56,knyc-central park
20090402,56,knyc-central park
20090403,56,knyc-central park
20090404,57,knyc-central park
20090405,57,knyc-central park
20090406,58,knyc-central park
20090407,58,knyc-central park
20090408,58,knyc-central park
20090409,59,knyc-central park
20090410,59,knyc-central park
20090411,60,knyc-central park
20090412,60,knyc-central park
20090413,60,knyc-central park
20090414,61,knyc-central park
20090415,61,knyc-central park
20090416,62,knyc-central park
20090417,62,knyc-central park
20090418,62,knyc-central park
20090419,63,knyc-central park
20090420,63,knyc-central park
20090421,63,knyc-central park
20090422,64,knyc-central park
20090423,64,knyc-central park
20090424,64,knyc-central park
20090425,65,knyc-central park
20090426,65,knyc-central park
20090427,65,knyc-central park
20090428,66,knyc-central park
20090429,66,knyc-central park
20090430,66,knyc-central park
20090501,67,knyc-central park
20090502,67,knyc-central park
20090503,67,knyc-central park
20090504,68,knyc-central park
20090505,68,knyc-central park
20090506,68,knyc-central park
20090507,68,knyc-central park
20090508,69,knyc-central park
20090509,69,knyc-central park
20090510,69,knyc-central park
20090511,70,knyc-central park
20090512,70,knyc-central park
20090513,70,knyc-central park
20090514,70,knyc-central park
20090515,71,knyc-central park
20090516,71,knyc-central park
20090517,71,knyc-central park
20090518,71,knyc-central park
20090519,72,knyc-central park
20090520,72,knyc-central park
20090521,72,knyc-central park
20090522,72,knyc-central park
20090523,73,knyc-central park
20090524,73,knyc-central park
20090525,73,knyc-central park
20090526,74,knyc-central park
20090527,74,knyc-central park
20090528,74,knyc-central park
20090529,74,knyc-central park
20090530,75,knyc-central park
20090531,75,knyc-central park
20090601,75,knyc-central park
20090602,76,knyc-central park
20090603,76,knyc-central park
20090604,76,knyc-central park
20090605,76,knyc-central park
20090606,77,knyc-central park
20090607,77,knyc-central park
20090608,77,knyc-central park
20090609,78,knyc-central park
20090610,78,knyc-central park
20090611,78,knyc-central park
20090612,78,knyc-central park
20090613,79,knyc-central park
20090614,79,knyc-central park
