date,tempmean,tempmax,tempmin,precip,snow,dewpt,wind,location
20100101,37,40,33,0.03,0.001,32.0,3.0,knyc-central park
20100102,26,34,17,0.02,0.20,14.0,13.0,knyc-central park
20100103,20,22,17,0.001,0.001,7.0,14.0,knyc-central park
20100104,25,30,19,0.00,0.00,10.0,11.0,knyc-central park
20100105,25,30,20,0.001,0.001,12.0,10.0,knyc-central park
20100106,30,34,26,0.001,0.001,15.0,10.0,knyc-central park
20100107,34,37,30,0.00,0.00,21.0,9.0,knyc-central park
20100108,28,33,23,0.05,0.60,22.0,8.0,knyc-central park
20100109,24,30,18,0.00,0.00,5.0,9.0,knyc-central park
20100110,21,28,14,0.00,0.00,2.0,7.0,knyc-central park
20100111,26,31,21,0.00,0.00,10.0,7.0,knyc-central park
20100112,30,35,24,0.00,0.00,14.0,9.0,knyc-central park
20100113,30,35,24,0.00,0.00,14.0,8.0,knyc-central park
20100114,36,42,30,0.00,0.00,20.0,3.0,knyc-central park
20100115,43,50,35,0.00,0.00,24.0,8.0,knyc-central park
20100116,44,49,38,0.00,0.00,28.0,6.0,knyc-central park
20100117,41,46,35,0.57,0.001,33.0,4.0,knyc-central park
20100118,44,50,37,0.05,0.00,35.0,13.0,knyc-central park
20100119,44,48,40,0.001,0.00,34.0,4.0,knyc-central park
20100120,38,41,34,0.00,0.00,25.0,6.0,knyc-central park
20100121,36,41,31,0.00,0.00,21.0,3.0,knyc-central park
20100122,38,44,32,0.00,0.00,19.0,6.0,knyc-central park
20100123,34,40,28,0.00,0.00,18.0,3.0,knyc-central park
20100124,41,50,32,0.02,0.00,35.0,2.0,knyc-central park
20100125,53,57,49,1.25,0.00,51.0,3.0,knyc-central park
20100126,42,49,35,0.001,0.00,24.0,9.0,knyc-central park
20100127,35,39,31,0.00,0.00,18.0,7.0,knyc-central park
20100128,31,42,20,0.09,1.30,21.0,9.0,knyc-central park
20100129,20,23,16,0.00,0.00,-1.0,12.0,knyc-central park
20100130,17,20,13,0.00,0.00,-2.0,9.0,knyc-central park
20100131,22,30,14,0.00,0.00,1.0,6.0,knyc-central park
20100201,30,35,25,0.00,0.00,9.0,8.0,knyc-central park
20100202,30,33,27,0.03,0.80,16.0,4.0,knyc-central park
20100203,34,39,29,0.06,0.20,25.0,5.0,knyc-central park
20100204,33,37,28,0.00,0.00,9.0,9.0,knyc-central park
20100205,33,36,29,0.00,0.00,15.0,5.0,knyc-central park
20100206,27,33,20,0.001,0.001,11.0,14.0,knyc-central park
20100207,26,34,17,0.00,0.00,7.0,10.0,knyc-central park
20100208,30,37,23,0.00,0.00,12.0,10.0,knyc-central park
20100209,35,42,28,0.001,0.001,21.0,5.0,knyc-central park
20100210,32,34,30,1.33,10.00,30.0,12.0,knyc-central park
20100211,33,37,28,0.00,0.00,18.0,12.0,knyc-central park
20100212,32,37,26,0.00,0.00,15.0,8.0,knyc-central park
20100213,28,32,24,0.00,0.00,13.0,9.0,knyc-central park
20100214,34,39,28,0.00,0.00,18.0,9.0,knyc-central park
20100215,34,40,27,0.01,0.001,20.0,7.0,knyc-central park
20100216,31,33,29,0.43,5.00,29.0,6.0,knyc-central park
20100217,31,35,26,0.00,0.00,21.0,8.0,knyc-central park
20100218,36,40,32,0.00,0.00,24.0,10.0,knyc-central park
20100219,39,43,35,0.00,0.00,24.0,11.0,knyc-central park
20100220,40,44,35,0.00,0.00,26.0,8.0,knyc-central park
20100221,40,46,33,0.00,0.00,18.0,10.0,knyc-central park
20100222,37,45,29,0.03,0.001,23.0,6.0,knyc-central park
20100223,37,38,35,1.20,0.001,34.0,14.0,knyc-central park
20100224,39,42,36,0.42,0.00,36.0,8.0,knyc-central park
20100225,33,38,27,2.00,9.40,32.0,3.0,knyc-central park
20100226,30,33,26,1.17,11.50,28.0,7.0,knyc-central park
20100227,34,38,29,0.01,0.001,28.0,5.0,knyc-central park
20100228,37,40,33,0.001,0.001,29.0,4.0,knyc-central park
20100301,42,48,36,0.00,0.00,27.0,10.0,knyc-central park
20100302,42,47,36,0.01,0.00,30.0,5.0,knyc-central park
20100303,38,41,34,0.07,0.001,31.0,11.0,knyc-central park
20100304,41,47,35,0.00,0.00,24.0,8.0,knyc-central park
20100305,42,49,34,0.00,0.00,18.0,8.0,knyc-central park
20100306,43,54,32,0.00,0.00,9.0,7.0,knyc-central park
20100307,47,57,37,0.00,0.00,21.0,7.0,knyc-central park
20100308,51,61,41,0.00,0.00,24.0,7.0,knyc-central park
20100309,53,61,44,0.00,0.00,25.0,4.0,knyc-central park
20100310,51,57,44,0.00,0.00,28.0,5.0,knyc-central park
20100311,48,53,42,0.00,0.00,36.0,9.0,knyc-central park
20100312,41,43,39,0.21,0.00,37.0,14.0,knyc-central park
20100313,42,46,38,3.86,0.00,41.0,23.0,knyc-central park
20100314,47,50,43,0.24,0.00,43.0,14.0,knyc-central park
20100315,44,46,41,0.33,0.00,39.0,12.0,knyc-central park
20100316,52,63,41,0.001,0.00,22.0,8.0,knyc-central park
20100317,55,66,43,0.00,0.00,23.0,2.0,knyc-central park
20100318,60,69,50,0.00,0.00,26.0,3.0,knyc-central park
20100319,61,72,49,0.00,0.00,28.0,3.0,knyc-central park
20100320,64,74,54,0.00,0.00,34.0,5.0,knyc-central park
20100321,58,64,51,0.00,0.00,40.0,7.0,knyc-central park
20100322,54,57,50,1.34,0.00,52.0,6.0,knyc-central park
20100323,49,53,45,0.11,0.00,48.0,6.0,knyc-central park
20100324,52,60,43,0.00,0.00,27.0,12.0,knyc-central park
20100325,55,62,48,0.001,0.00,32.0,4.0,knyc-central park
20100326,43,52,34,0.14,0.00,30.0,10.0,knyc-central park
20100327,37,44,29,0.00,0.00,11.0,8.0,knyc-central park
20100328,43,49,36,0.34,0.00,35.0,8.0,knyc-central park
20100329,51,53,48,1.58,0.00,50.0,7.0,knyc-central park
20100330,46,50,41,2.45,0.00,41.0,11.0,knyc-central park
20100331,51,57,45,0.01,0.00,44.0,6.0,knyc-central park
20100401,59,70,48,0.00,0.00,43.0,5.0,knyc-central park
20100402,58,68,48,0.00,0.00,44.0,4.0,knyc-central park
20100403,57,67,47,0.00,0.00,45.0,5.0,knyc-central park
20100404,62,76,47,0.00,0.00,42.0,3.0,knyc-central park
20100405,66,75,56,0.00,0.00,40.0,6.0,knyc-central park
20100406,68,78,58,0.00,0.00,54.0,4.0,knyc-central park
20100407,74,92,56,0.00,0.00,46.0,7.0,knyc-central park
20100408,72,80,64,0.00,0.00,53.0,6.0,knyc-central park
20100409,56,68,44,0.30,0.00,46.0,8.0,knyc-central park
20100410,52,62,42,0.00,0.00,24.0,10.0,knyc-central park
20100411,64,76,52,0.00,0.00,32.0,7.0,knyc-central park
20100412,60,67,52,0.00,0.00,23.0,5.0,knyc-central park
20100413,52,56,47,0.00,0.00,31.0,5.0,knyc-central park
20100414,56,67,45,0.00,0.00,30.0,5.0,knyc-central park
20100415,62,73,50,0.00,0.00,31.0,7.0,knyc-central park
20100416,52,57,46,0.31,0.00,40.0,7.0,knyc-central park
20100417,50,54,46,0.01,0.00,42.0,7.0,knyc-central park
20100418,50,57,42,0.00,0.00,32.0,7.0,knyc-central park
20100419,55,63,46,0.00,0.00,32.0,7.0,knyc-central park
20100420,59,70,47,0.00,0.00,36.0,5.0,knyc-central park
20100421,61,69,53,0.03,0.00,44.0,7.0,knyc-central park
20100422,62,72,51,0.001,0.00,43.0,6.0,knyc-central park
20100423,56,68,44,0.00,0.00,27.0,6.0,knyc-central park
20100424,57,68,46,0.001,0.00,27.0,6.0,knyc-central park
